day,month
จันทร์,มกราคม
อังคาร,กุมภาพันธ์
พุธ,มีนาคม
พฤหัส,เมษายน
ศุกร์,พฤษภาคม
เสาร์,มิถุนายน
อาทิตย์,กรกฏาคม
,สิงหาคม
,กันยายน
,พฤศจิกายน
,ตุลาคม
,ธันวาคม
